SITE,POSITION,long,lat,inside microphone,
bambi,1,-101.6341189,41.21181426,right,
bambi,2,-101.6336055,41.2118613,right,
bambi,3,-101.6336841,41.21171949,left,
bambi,4,-101.6342607,41.21170085,left,
bambi,5,-101.6339399,41.21177142,NA,
beaver pond,1,-101.6360842,41.21399315,right,
beaver pond,2,-101.6357074,41.21396771,left,
beaver pond,3,-101.6356024,41.21366843,right,
beaver pond,4,-101.6360688,41.21363999,left,
beaver pond,5,-101.6358162,41.21381757,NA,
deep water,1,-101.6570251,41.22055785,left,
deep water,2,-101.6563492,41.22013007,right,
deep water,3,-101.6564809,41.22003843,left,
deep water,4,-101.6570432,41.2204251,left,
deep water,5,-101.6567467,41.22033416,NA,
pic,1,-101.6374971,41.21568822,left,
pic,2,-101.637289,41.21588447,left,
pic,3,-101.6368178,41.21556599,left,
pic,4,-101.6369434,41.21537978,left,
pic,5,-101.6371549,41.2156538,NA,
stripies,1,-101.6390073,41.21595217,left,
stripies,2,-101.6389741,41.2161623,left,
stripies,3,-101.6386237,41.21619987,right,
stripies,4,-101.6380761,41.21624898,"right (left till 7/1/21, I changed its orientation before trials on 7/2/21)", 
stripies,5,-101.6380589,41.21598158,NA,