Date,Start Time,End Time,Colony,Nest,Treatment
7/5/21,6:31:00,6:47:00,stripies,Nest31,cowbird
7/5/21,7:11:00,7:27:00,stripies,Nest31,swallow
7/5/21,7:40:00,7:50:00,stripies,Nest46,cowbird
7/5/21,8:10:00,8:25:00,stripies,Nest46,swallow
7/5/21,8:35:00,8:50:00,stripies,Nest48,cowbird
7/5/21,9:10:00,9:25:00,stripies,Nest48,swallow
7/5/21,9:48:00,10:05:00,stripies,Nest40,cowbird
7/5/21,10:25:00,10:40:00,stripies,Nest40,swallow
7/12/21,5:00:00,5:05:00,stripies,,control
6/15/21,7:10:00,7:15:00,bambi,,control
6/17/21,9:25:00,9:30:00,poison ivy creek,,control
6/23/21,11:10:00,11:15:00,beaver pond,,control
6/28/21,8:19:00,8:24:00,stripies,,alarm calls
6/30/21,12:32:00,12:49:00,beaver pond,,alarm calls
6/27/21,8:00:00,8:08:00,stripies,,alarm calls
7/4/21,8:35:00,8:44:00,stripies,,alarm calls
7/4/21,11:10:00,11:22:00,stripies,,swallow